firstname,lastname,city,year,ethnicity
Timothy,Wade,Blythe,2013,white
Joseph,De-Coninck,Blythe,2013,white
Oscar,Galvan,Blythe,2013,hispanic
Dale,Reynolds,Blythe,2015,white
Eric,Egan,Blythe,2015,white
Joseph,De Coninck,Blythe,2017,white
Joseph,"Halby, lll",Blythe,2017,white
Johnny,Rodriguez,Blythe,2017,hispanic
Sam,Burton,Blythe,2020,white
Dale,Reynolds,Blythe,2020,white
Joseph,Deconinck,Blythe,2022,white
Johnny,Rodriguez,Blythe,2022,hispanic
Joseph,"Halby, III",Blythe,2022,white
Bruce,Lathrop,Bradbury,2012,white
Richard,Hale Jr.,Bradbury,2012,white
D.M.,Lewis,Bradbury,2012,white
Don,Campbell,Brawley,2011,white
George,Nava,Brawley,2011,hispanic
Ryan,Kelley,Brawley,2011,white
Sam,Couchman,Brawley,2013,white
Helen,Noriega,Brawley,2013,hispanic
George,Nava,Brawley,2015,hispanic
Donald,Wharton,Brawley,2015,white
Norma,Jauregui,Brawley,2015,hispanic
Sam,Couchman,Brawley,2017,white
Luke,Hamby,Brawley,2017,white
Ramon,Castro,Brawley,2020,hispanic
George,Nava,Brawley,2020,hispanic
Donald,Wharton,Brawley,2020,white
Gil,Rebollar,Brawley,2022,hispanic
Luke,Hamby,Brawley,2022,white
Ron,Garcia,BREA,2010,hispanic
Roy,Moore,BREA,2010,white
Brett,Murdock,BREA,2010,white
Christine,Marick,Brea,2012,white
Marty,Simonoff,Brea,2012,white
Cecilia,Hupp,Brea,2014,white
Steven,Vargas,Brea,2014,hispanic
Glenn,Parker,Brea,2014,white
Christine,Marick,Brea,2016,white
Marty,Simonoff,Brea,2016,white
Cecilia,Hupp,Brea,2018,white
Glenn,Parker,Brea,2018,white
Steven,Vargas,Brea,2018,hispanic
Christine,Marick,Brea,2020,white
Marty,Simonoff,Brea,2020,white
Steven,Vargas,Brea,2022,hispanic
Blair,Stewart,Brea,2022,white
Cecilia,Hupp,Brea,2022,white
Steve,Barr,BRENTWOOD,2010,white
Joel,Bryant,BRENTWOOD,2010,white
Gene,Clare,Brentwood,2012,white
Erick,Stonebarger,Brentwood,2012,white
Claudettte,Staton,Brentwood,2016,white
Karen,Rarey,Brentwood,2016,white
Joel,Bryant,Brentwood,2018,white
Johnny,Rodriguez,Brentwood,2018,hispanic
Jovita,Mendoza,Brentwood,2020,hispanic
Susannah,Meyer,Brentwood,2020,white
Patanisha,Pierson,Brentwood,2022,white
Tony,Oerlemans,Brentwood,2022,white
Douglas,Arnold,BRIGGS,2010,white
James,Sheppard,BRIGGS,2010,white
Angela,Thompson,BRIGGS,2010,white
Ray,Miller,Brisbane,2011,white
Terry,O'Connell,Brisbane,2011,white
Lori,Liu,Brisbane,2013,asian
W.,Conway,Brisbane,2013,white
Cliff,Lentz,Brisbane,2013,white
Terry,O'Connell,Brisbane,2015,white
Madison,Davison,Brisbane,2015,white
W.,Conway,Brisbane,2017,white
Karen,Cunningham,Brisbane,2017,white
Cliff,Lentz,Brisbane,2017,white
Madison,Davis,Brisbane,2019,black
Terry,O'Connell,Brisbane,2019,white
Coleen,Mackin,Brisbane,2020,white
Karen,Cunningham,Brisbane,2020,white
Cliff,Lentz,Brisbane,2020,white
Madison,Davis,Brisbane,2022,black
Terry,O'Connell,Brisbane,2022,white
Ed,Andrisek,BUELLTON,2010,black
Judith,Dale,BUELLTON,2010,white
Russ,Hicks,BUELLTON,2010,white
Leo,Elovitz,Buellton,2012,white
Holly,Sierra,Buellton,2012,hispanic
John,Connolly,Buellton,2014,white
Ed,Andrisek,Buellton,2014,black
Dan,Baumann,Buellton,2014,white
Foster,Reif,Buellton,2016,white
Ed,Adrisek,Buellton,2018,white
Dave,King,Buellton,2018,white
Art,Mercado,Buellton,2018,hispanic
John,Sanchez,Buellton,2018,hispanic
Elysia,Lewis,Buellton,2020,white
Art,Mercado,Buellton,2020,hispanic
John,Sanchez,Buellton,2020,hispanic
Hudson,Hornick,Buellton,2022,white
David,Silva,Buellton,2022,hispanic
Steve,Berry,BUENA PARK,2010,white
Miller,Oh,BUENA PARK,2010,asian
Elizabeth,Swift,BUENA PARK,2010,white
Art,Brown,Buena Park,2012,black
Fred,Smith,Buena Park,2012,black
Elizabeth,Swift,Buena Park,2014,white
Steve,Berry,Buena Park,2014,white
Virginia,Vaughn,Buena Park,2014,white
Fred,Smith,Buena Park,2016,black
Art,Brown,Buena Park,2016,black
Sunny,Park,Buena Park,2018,asian
Elizabeth,Swift,Buena Park,2018,white
Connor,Traut,Buena Park,2018,white
Susan,Sonne,Buena Park,2020,white
Arthur,Brown,Buena Park,2020,black
Joyce,Ahn,Buena Park,2022,asian
Jose,Castaneda,Buena Park,2022,hispanic
Gary,Bric,Burbank,2011,white
Emily,Gabel-Luddy,Burbank,2011,white
Robert,Frutos,Burbank,2013,hispanic
David,Gordon,Burbank,2013,white
Jess,Talamantes,Burbank,2013,hispanic
Emily,Gabel-Luddy,Burbank,2015,white
Will,Rogers,Burbank,2015,white
Christopher,Rizzotti,Burbank,2015,black
Juan,Guillen. Jr.,Burbank,2015,hispanic
Jess,Talamantes,Burbank,2017,hispanic
Robert,Frutos,Burbank,2017,hispanic
Sharon,Springer,Burbank,2017,white
Konstantine,Anthony,Burbank,2020,white
Nick,Schultz,Burbank,2020,white
Nikki,Perez,Burbank,2022,hispanic
Tamala,Takahashi,Burbank,2022,asian
Zizette,Mullins,Burbank,2022,white
Jerry,Deal,Burlingame,2011,white
Terry,Nagel,Burlingame,2011,white
Ann,Keighran,Burlingame,2013,white
Michael,Brownrigg,Burlingame,2013,white
Ricardo,Ortiz,Burlingame,2013,hispanic
Emily,Beach,Burlingame,2015,white
Donna,Colson,Burlingame,2015,white
Michael,Brownrigg,Burlingame,2017,white
Ann,Keighran,Burlingame,2017,white
Ricardo,Ortiz,Burlingame,2017,hispanic
Emily,Beach,Burlingame,2019,white
Donna,Colson,Burlingame,2019,white
Ricardo,Ortiz,Burlingame,2022,hispanic
Michael,Brownrigg,Burlingame,2022,white
Peter,Stevenson,Burlingame,2022,white
Fred,Gaines,Calabasas,2011,white
Lucy,Martin,Calabasas,2011,white
Mary,Maurer,Calabasas,2013,white
James,Bozajian,Calabasas,2013,white
David,Shapiro,Calabasas,2013,white
Alicia,Weintraub,Calabasas,2015,white
Fred,Gaines,Calabasas,2015,white
James,Bozajian,Calabasas,2018,white
Mary,Maurer,Calabasas,2018,white
David,Shapiro,Calabasas,2018,white
Peter,Kraut,Calabasas,2020,white
Alicia,Weintraub,Calabasas,2020,white
James,Bozajian,Calabasas,2022,white
David,Shapiro,Calabasas,2022,white
Edward,Albrecht,Calabasas,2022,white
Bill,Hodge,CALEXICO,2010,white
Maritza,Hurtado-Barron,CALEXICO,2010,hispanic
Joong,Kim,Calexico,2012,asian
John,Moreno,Calexico,2012,hispanic
Luis,Castro,Calexico,2012,hispanic
Armando,Real,Calexico,2014,hispanic
Maritza,Hurtado,Calexico,2014,hispanic
Lewis,Pacheo,Calexico,2016,white
Jesus,Escobar,Calexico,2016,hispanic
Bill,Hodge,Calexico,2016,white
Rosie,Fernandez,Calexico,2018,hispanic
David,Romero,Calexico,2018,hispanic
Javier,Moreno,Calexico,2020,hispanic
Gloria,Romo,Calexico,2020,hispanic
Raul,Ureña,Calexico,2020,hispanic
Camilo,Garcia,Calexico,2020,hispanic
Raul,Ureña,Calexico,2022,hispanic
Gilberto,Manzanarez,Calexico,2022,hispanic
Edward,Fuller,CALIFORNIA CITY,2010,white
Charles,McGuire,CALIFORNIA CITY,2010,white
Jennifer,Wood,California City,2012,white
William,Smith,California City,2012,black
James,Gray,California City,2014,white
Chuck,McGuire,California City,2014,white
Gene,Stump,California City,2016,white
Donald,Parris,California City,2016,white
Tami,Johnson,California City,2018,black
Nicholas,Lessenevitch,California City,2018,white
James,Creighton,California City,2020,white
Karen,Macedonio,California City,2020,white
Kelly,Kulikoff,California City,2020,white
Ronald,"Smith, Jr",California City,2022,white
Michael,Kulikoff,California City,2022,white
Jeff,Hewitt,CALIMESA,2010,white
James,Hyatt,CALIMESA,2010,white
Bill,Davis,Calimesa,2012,black
Ella,Zanowic,Calimesa,2012,white
Joyce,McIntire,Calimesa,2012,white
Linda,Clark-Molina,Calimesa,2016,white
Bill,Davis,Calimesa,2016,black
Ed,Clark,Calimesa,2016,white
James,Hyatt,Calimesa,2018,white
Larry,Smith,Calimesa,2018,black
Wendy,Hewitt,Calimesa,2020,white
William,Davis,Calimesa,2020,black
Linda,Molina,Calimesa,2020,hispanic
Jeff,Cervantez,Calimesa,2020,hispanic
Hector,Cervantes,Calipatria,2011,hispanic
Maria,Nava-Froelich,Calipatria,2011,white
Javier,Amezcula,Calipatria,2018,hispanic
Hector,Cervantes,Calipatria,2018,hispanic
Huston,Hisel,Calipatria,2018,white
Sylvia,Chavez,Calipatria,2020,hispanic
Maria,Nava-Froelich,Calipatria,2020,white
Michael,"Luellen, II",Calipatria,2022,hispanic
Javier,Amezcua,Calipatria,2022,hispanic
Fred,Beltran,Calipatria,2022,hispanic
Chris,Canning,CALISTOGA,2010,white
Gary,Kraus,CALISTOGA,2010,white
Carl,Sherrill,Calistoga,2012,white
Michael,Dunsford,Calistoga,2012,white
James,Barnes,Calistoga,2014,white
Gary,Kraus,Calistoga,2014,white
Gary,Kraus,Calistoga,2018,white
Donald,Williams,Calistoga,2018,black
Lisa,Gift,Calistoga,2020,white
Irais,Lopez-Ortega,Calistoga,2020,hispanic
Kevin,Eisenberg,Calistoga,2022,white
Scott,Cooper,Calistoga,2022,white
Charlotte,Craven,CAMARILLO,2010,white
Jeanette,McDonald,CAMARILLO,2010,white
Mike,Morgan,CAMARILLO,2010,white
Bill,Little,Camarillo,2012,white
Kevin,Kildee,Camarillo,2012,white
Mike,Morgan,Camarillo,2014,white
Jan,McDonald,Camarillo,2014,white
Charlotte,Craven,Camarillo,2014,white
Kevin,Kildee,Camarillo,2016,white
Tony,Trembley,Camarillo,2016,white
Charlotte,Craven,Camarillo,2018,white
Shawn,Mulchay,Camarillo,2018,white
Susan,Santangelo,Camarillo,2018,white
Kevin,Kildee,Camarillo,2020,white
Tony,Trembley,Camarillo,2020,white
David,Tennessen,Camarillo,2022,white
Susan,Santangelo,Camarillo,2022,white
Martha,Bravo,Camarillo,2022,hispanic
Jeff,Cristina,CAMPBELL,2010,white
Evan,Low,CAMPBELL,2010,white
Richard,Waterman,CAMPBELL,2010,white
Liz,Gibbons,Campbell,2014,white
Paul,Resnkikoff,Campbell,2014,white
Jeffery,Cristina,Campbell,2014,white
Rich,Waterman,Campbell,2016,white
Susan,Landry,Campbell,2016,white
Anne,Bybee,Campbell,2018,white
Elizabeth,Gibbons,Campbell,2018,white
Paul,Resnikoff,Campbell,2018,white
Sergio,Lopez,Campbell,2020,hispanic
Susan,Landry,Campbell,2020,white
Dan,Furtado,Campbell,2022,white
Elliot,Scozzola,Campbell,2022,white
Anne,Bybee,Campbell,2022,white
Randall,Bonner,CANYON LAKE,2010,white
Mary,Craton,CANYON LAKE,2010,white
Tim,Brown,Canyon Lake,2012,black
Nancy,Horton,Canyon Lake,2012,white
Jordan,Ehrenkranz,Canyon Lake,2012,white
Dawn,Haggerty,Canyon Lake,2014,white
Vicki,Warren,Canyon Lake,2014,white
Larry,Greene,Canyon Lake,2016,white
Randall,Bonner,Canyon Lake,2016,white
Jordan,Ehrenkranz,Canyon Lake,2016,white
Kasey,Castillo,Canyon Lake,2018,hispanic
Jeremy,Smith,Canyon Lake,2018,black
Dale,Welty,Canyon Lake,2020,white
Jordan,Ehrenkranz,Canyon Lake,2020,white
Larry,Greene,Canyon Lake,2020,white
Stephanie,Harlan,CAPITOLA,2010,white
Sam,Storey,CAPITOLA,2010,white
Michael,Termini,CAPITOLA,2010,white
Edward,Bottorff,Capitola,2012,white
Dennis,Norton,Capitola,2012,white
Stephanie,Harlan,Capitola,2014,white
Michael,Termini,Capitola,2014,white
Jacques,Bertrand,Capitola,2014,white
Kristen,Petersen,Capitola,2016,white
Ed,Bottorff,Capitola,2016,white
Jacques,Bertrand,Capitola,2018,white
Yvette,Brooks,Capitola,2018,black
Sam,Storey,Capitola,2018,white
Margaux,Keiser,Capitola,2020,white
Kristen,Petersen,Capitola,2020,white
Yvette,Brooks,Capitola,2022,black
Alexander,Pederson,Capitola,2022,white
Joe,Clarke,Capitola,2022,white
Farrah,Douglas,CARLSBAD,2010,white
Mark,Packard,CARLSBAD,2010,white
Lorraine,Wood,Carlsbad,2012,white
Keith,Blackburn,Carlsbad,2012,black
Mark,Packard,Carlsbad,2014,white
Michael,Schumacher,Carlsbad,2014,white
Keith,Blackburn,Carlsbad,2016,black
Cori,Schumacher,Carlsbad,2016,white
Barbara,Hamilton,Carlsbad,2018,white
Priya,Bhat-Patel,Carlsbad,2018,asian
Teresa,Acosta,Carlsbad,2020,hispanic
Cori,Schumacher,Carlsbad,2020,white
Keith,Blackburn,Carlsbad,2020,black
Melanie,Burkholder,Carlsbad,2022,white
Priya,Bhat-Patel,Carlsbad,2022,asian
Jan,Reimers,Carmel-By-The-Sea,2016,white
Jeff,Baron,Carmel-By-The-Sea,2018,white
Carrie,Theis,Carmel-By-The-Sea,2018,white
Karen,Ferlito,Carmel-By-The-Sea,2020,white
Bobby,Richards,Carmel-By-The-Sea,2020,white
Jeff,Baron,Carmel-By-The-Sea,2022,white
Alissandra,Dramov,Carmel-By-The-Sea,2022,white
Gregg,Carty,CARPINTERIA,2010,white
Al,Clark,CARPINTERIA,2010,white
Brad,Stein,CARPINTERIA,2010,white
Wade,Nomura,Carpinteria,2012,asian
Fred,Shaw,Carpinteria,2012,white
Wade,Nomura,Carpinteria,2016,asian
Fred,Shaw,Carpinteria,2016,white
Gregg,Carty,Carpinteria,2018,white
Al,Clark,Carpinteria,2018,white
Roy,Lee,Carpinteria,2018,asian
Natalia,Alarcon,Carpinteria,2020,hispanic
Wade,Nomura,Carpinteria,2020,asian
Mónica,Solórzano,Carpinteria,2022,hispanic
Roy,Lee,Carpinteria,2022,asian
Al,Clark,Carpinteria,2022,white
Lula,Davis-Holmes,Carson,2011,white
Elito,Santarina,Carson,2011,hispanic
Mike,Gipson,Carson,2013,white
Albert,Robles,Carson,2013,hispanic
Lula,Davis-Holmes,Carson,2015,white
Elito,Santarina,Carson,2015,hispanic
Jawane,Hilton,Carson,2015,white
Jawane,Hilton,Carson,2016,white
Cedric,"Hicks, Sr.",Carson,2016,white
Lula,Davis-Holmes,Carson,2018,white
Jim,Dear,Carson,2018,white
Jawane,Hilton,Carson,2020,white
Cedric,"Hicks, Sr.",Carson,2020,white
Arleen,Rojas,Carson,2021,hispanic
Jim,Dear,Carson,2022,white
Arleen,Rojas,Carson,2022,hispanic
Nancy,Ross,Cathedral,2020,white
Rita,Lamb,Cathedral,2020,black
Mark,Carnevale,Cathedral,2022,white
Ernesto,Gutierrez,Cathedral,2022,hispanic
Raymond,Gregory,Cathedral,2022,white
Sam,Toles,CATHEDRAL CITY,2010,white
Charles,Vasquez,CATHEDRAL CITY,2010,hispanic
Stan,Henry,Cathedral City,2012,white
Gregory,Pettis,Cathedral City,2012,white
Shelley,Kaplan,Cathedral City,2014,white
Mark,Carnevale,Cathedral City,2014,white
Gregory,Pettis,Cathedral City,2016,white
John,Agular,Cathedral City,2016,hispanic
Mark,Carnevale,Cathedral City,2018,white
Ernesto,Gutierrez,Cathedral City,2018,hispanic
Raymond,Gregory,Cathedral City,2018,white
Rita,Lamb,Cathedral City,2019,black
Brett,Durossette,Ceres,2011,white
Mike,Kline,Ceres,2011,white
Eric,Ingwerson,Ceres,2011,white
Linda,Ryno,Ceres,2013,white
Ken,Lane,Ceres,2013,white
Bret,Durossette,Ceres,2015,white
Mike,Kline,Ceres,2015,white
Channce,Condit,Ceres,2018,white
Linda,Ryno,Ceres,2018,white
Bret,Silveira,Ceres,2020,white
Couper,Condit,Ceres,2020,white
James,Casey,Ceres,2021,black
James,Casey,Ceres,2022,black
Rosalinda,Vierra,Ceres,2022,hispanic
Daniel,Martinez,Ceres,2022,hispanic
Mark,Pulido,Cerritos,2011,hispanic
Bruce,Barrows,Cerritos,2011,white
Joseph,Cho,Cerritos,2011,asian
Carol,Chen,Cerritos,2013,asian
George,Ray,Cerritos,2013,white
Mark,Pulido,Cerritos,2015,hispanic
Jim,Edwards,Cerritos,2015,white
Naresh,Solanki,Cerritos,2015,white
Grace,Hu,Cerritos,2017,asian
Frank,Yokoyama,Cerritos,2017,asian
Chuong,Vo,Cerritos,2020,asian
Jim,Edwards,Cerritos,2020,white
Naresh,Solanki,Cerritos,2020,white
Frank,Yokoyama,Cerritos,2022,asian
Lynda,Johnson,Cerritos,2022,black
Mary,Flynn,CHICO,2010,white
Scott,Gruendl,CHICO,2010,white
Mark,Sorensen,CHICO,2010,white
Tami,Ritter,Chico,2012,white
Sean,Morgan,Chico,2012,white
Randall,Stone,Chico,2012,black
Ann,Schwab,Chico,2012,white
Andrew,Coolidge,Chico,2014,white
Mark,Sorensen,Chico,2014,white
Reanette,Fillmer,Chico,2014,white
Sean,Morgan,Chico,2016,white
Ann,Schwab,Chico,2016,white
Randall,Stone,Chico,2016,black
Karl,Ory,Chico,2016,white
Alexandria,Brown,Chico,2018,black
Scott,Huber,Chico,2018,white
Kasey,Reynolds,Chico,2018,white
Sean,Morgan,Chico,2020,white
Kami,Denlay,Chico,2020,white
Andrew,Coolidge,Chico,2020,white
Deepika,Tandon,Chico,2020,white
Kasey,Reynolds,Chico,2022,white
Dale,Bennett,Chico,2022,white
Addison,Winslow,Chico,2022,white
Tom,Van Overbeek,Chico,2022,white
Earl,Elrod,CHINO,2010,white
Eunice,Ulloa,CHINO,2010,hispanic
Tom,Haughey,Chino,2012,white
Glenn,Duncan,Chino,2012,white
Glenn,Duncan,Chino,2016,white
Tom,Haughey,Chino,2016,white
Paul,Rodriguez,Chino,2018,hispanic
Mark,Hargrove,Chino,2018,white
Marc,Lucio,Chino,2018,hispanic
Karen,Comstock,Chino,2020,white
Christopher,Flores,Chino,2020,hispanic
Curtis,Burton,Chino,2022,white
Marc,Lucio,Chino,2022,hispanic
Ed,Graham,CHINO HILLS,2010,white
Bill,Kruger,CHINO HILLS,2010,white
Peter,Rogers,CHINO HILLS,2010,white
Cynthia,Moran,Chino Hills,2012,white
Art,Bennett,Chino Hills,2012,white
Ray,Marquez,Chino Hills,2013,hispanic
Edgar,Graham,Chino Hills,2014,white
Peter,Rogers,Chino Hills,2014,white
Raymond,Marquez,Chino Hills,2014,hispanic
Cynthia,Moran,Chino Hills,2016,white
Art,Bennett,Chino Hills,2016,white
Ray,Marquez,Chino Hills,2018,hispanic
Peter,Rogers,Chino Hills,2018,white
Brian,Johsz,Chino Hills,2018,white
Art,Bennett,Chino Hills,2020,white
Cynthia,Moran,Chino Hills,2020,white
Ray,Marquez,Chino Hills,2022,hispanic
Peter,Rogers,Chino Hills,2022,white
Brian,Johsz,Chino Hills,2022,white
John,Chavez,Chowchilla,2012,hispanic
Richard,Walker,Chowchilla,2012,white
Dennis,Haworth,Chowchilla,2012,white
Waseem,Ahmed,Chowchilla,2014,asian
Mary,Gaumnitz,Chowchilla,2014,white
Waseem,Ahmed,Chowchilla,2018,asian
Diana,Palmer,Chowchilla,2018,white
Waseem,Ahmed,Chowchilla,2022,asian
Jeff,Troost,Chowchilla,2022,white
Kelly,Smith,Chowchilla,2022,black
Rudy,Ramirez,CHULA VISTA,2010,hispanic
Patricia,Aguilar,CHULA VISTA,2010,hispanic
Larry,Breitfelder Navas,Chula Vista,2012,white
Mary,Salas,Chula Vista,2012,hispanic
Pamela,Bensoussan,Chula Vista,2012,white
John,McCann,Chula Vista,2014,white
Patricia,Aguilar,Chula Vista,2014,hispanic
Steve,Padilla,Chula Vista,2016,hispanic
Mike,Diaz,Chula Vista,2016,hispanic
Jill,Galvez,Chula Vista,2018,hispanic
Steve,Stenberg,Chula Vista,2018,white
John,McCann,Chula Vista,2018,white
Andrea,Cardenas,Chula Vista,2020,hispanic
Steve,Padilla,Chula Vista,2020,hispanic
Carolina,Chavez,Chula Vista,2022,hispanic
Jose,Preciado,Chula Vista,2022,hispanic
Jeannie,Bruins,CITRUS HEIGHTS,2010,white
Steve,Miller,CITRUS HEIGHTS,2010,white
Mel,Turner,CITRUS HEIGHTS,2010,black
Sue,Frost,Citrus Heights,2012,black
Jeff,Slowey,Citrus Heights,2012,white
Jeannie,Bruins,Citrus Heights,2014,white
Mel,Turner,Citrus Heights,2014,black
Steve,Miller,Citrus Heights,2014,white
Jeff,Slowey,Citrus Heights,2016,white
Bret,Daniels,Citrus Heights,2016,white
Jeannie,Bruins,Citrus Heights,2018,white
Porsche,Middleton,Citrus Heights,2018,white
Steve,Miller,Citrus Heights,2018,white
Tim,Schaefer,Citrus Heights,2020,white
Bret,Daniels,Citrus Heights,2020,white
Marijane,Lopez-Taff,Citrus Heights,2022,white
Jayna,Karpinski-Costa,Citrus Heights,2022,white
Porsche,Middleton,Citrus Heights,2022,white
Alvin,Broglio,City of Angels,2018,white
Amanda,Folendorf,City of Angels,2018,white
Sam,Pedroza,Claremont,2011,hispanic
Opanyi,Nasiali,Claremont,2011,black
Joseph,Lyons,Claremont,2011,white
Larry,Schroeder,Claremont,2013,white
Corey,Calaycay,Claremont,2013,white
Corey,Calaycay,Claremont,2017,white
Larry,Shroeder,Claremont,2017,white
Jed,Leano,Claremont,2018,white
Ed,Reece,Claremont,2018,white
Jennifer,Stark,Claremont,2018,white
Silviano,Medina,Claremont,2020,hispanic
Corey,Calaycay,Claremont,2020,white
Ed,Reece,Claremont,2022,white
Jennifer,Stark,Claremont,2022,white
Jed,Leano,Claremont,2022,white
David,Shuey,CLAYTON,2010,white
Ross,Stratford,CLAYTON,2010,white
Jim,Diaz,Clayton,2012,hispanic
Julie,Pierce,Clayton,2012,white
Howard,Geller,Clayton,2012,white
David,Shuey,Clayton,2014,white
Keith,Haydon,Clayton,2014,white
Julie,Pierce,Clayton,2016,white
Jim,Diaz,Clayton,2016,hispanic
Tuija,Catalano,Clayton,2016,white
Jeff,Wan,Clayton,2018,asian
Carl,Wolfe,Clayton,2018,white
Peter,Cloven,Clayton,2020,white
Letecia,Tillman,Clayton,2020,white
Jim,Diaz,Clayton,2020,hispanic
Jeff,Wan,Clayton,2022,asian
Kim,Trupiano,Clayton,2022,white
Joey,Luiz,CLEARLAKE,2010,hispanic
Jeri,Spittler,CLEARLAKE,2010,white
Denise,Loustalot,Clearlake,2012,white
Gina,Dickson,Clearlake,2012,white
Joyce,Overton,Clearlake,2012,white
Bruno,Sabatier,Clearlake,2014,white
Russell,Perdock,Clearlake,2014,white
Stanley,Bennett,Clearlake,2016,white
Joyce,Overton,Clearlake,2016,white
Phil,Harris,Clearlake,2016,black
Russell,Cremer,Clearlake,2018,white
Dirk,Slooten,Clearlake,2018,white
David,Claffey,Clearlake,2020,white
Joyce,Overton,Clearlake,2020,white
Russell,Cremer,Clearlake,2022,white
Dirk,Slooten,Clearlake,2022,white
Mike,Maacks,CLOVERDALE,2010,white
Joseph,Palla,CLOVERDALE,2010,hispanic
Carol,Russell,CLOVERDALE,2010,white
Mary,Brigham,Cloverdale,2012,white
Robert,Cox,Cloverdale,2012,white
Joseph,Palla,Cloverdale,2014,hispanic
Carol,Russell,Cloverdale,2014,white
Gus,Wolter,Cloverdale,2014,white
Mary,Brigham,Cloverdale,2016,white
Melanie,Bagby,Cloverdale,2016,white
Marta,Cruz,Cloverdale,2018,hispanic
Jason,Turner,Cloverdale,2018,black
Gus,Wolter,Cloverdale,2018,white
Todd,Lands,Cloverdale,2020,white
Melanie,Bagby,Cloverdale,2020,white
Gus,Wolter,Cloverdale,2022,white
Brian,Wheeler,Cloverdale,2022,white
Marjorie,Morgenstern,Cloverdale,2022,white
Lynne,Ashbeck,Clovis,2017,white
Vongsavanh,Mouanoutoua,Clovis,2017,white
Drew,Bessinger,Clovis,2017,white
Bob,Whalen,Clovis,2019,white
Drew,Bessinger,Clovis,2019,white
Jose,Flores,Clovis,2019,hispanic
Vong,Mouanoutoua,Clovis,2021,white
Lynne,Ashbeck,Clovis,2021,white
Drew,Bessinger,Clovis,2022,white
Diane,Pearce,Clovis,2022,white
Matt,Basgall,Clovis,2022,white
Arturo,Aviles,COACHELLA,2010,hispanic
Steven,Hernandez,COACHELLA,2010,hispanic
Magdalena,Zepeda,Coachella,2012,hispanic
Emmanuel,Martinez,Coachella,2012,hispanic
Manuel,Perez,Coachella,2014,hispanic
Beatriz,Sanchez,Coachella,2014,hispanic
Emmanuel,Martinez,Coachella,2016,hispanic
Philip,Bautista,Coachella,2016,hispanic
Josie,Gonzalez,Coachella,2018,hispanic
Megan,Jacinto,Coachella,2018,hispanic
Denise,Delgado,Coachella,2020,hispanic
Neftali,Galarza,Coachella,2020,hispanic
Frank,Figueroa,Coachella,2022,hispanic
Stephanie,Virgen,Coachella,2022,white
Jacque,Casillas,Coachella,2022,hispanic
Tony,Garcia,COALINGA,2010,hispanic
Mike,Oxborrow,COALINGA,2010,white
Ron,Ramsey,COALINGA,2010,white
Patrick,Keough,Coalinga,2012,white
Ron,Lander,Coalinga,2012,white
Steve,Raine,Coalinga,2014,white
Ron,Ramsey,Coalinga,2014,white
Nathan,Vosburg,Coalinga,2014,white
Ronald,Lander,Coalinga,2016,white
Tanya,Stolz,Coalinga,2016,white
Adam,Adkisson,Coalinga,2018,white
Ray,Singleton,Coalinga,2018,black
Ron,Ramsey,Coalinga,2018,white
James,Horn,Coalinga,2020,black
Jose,Ramirez,Coalinga,2020,hispanic
Adam,Adkisson,Coalinga,2022,white
Nathan,Vosburg,Coalinga,2022,white
Kim,Douglass,Colfax,2012,white
Tom,Parnham,Colfax,2012,white
Kenneth,Delfino,Colfax,2014,white
Stephen,Harvey,Colfax,2014,white
Tony,Hesch,Colfax,2014,white
Kim,Douglass,Colfax,2016,white
Wally,Costa,Colfax,2016,white
Trinity,Burruss,Colfax,2018,white
Joseph,"Fatula, Jr.",Colfax,2018,white
Sean,Lomen,Colfax,2018,white
Marnie,Mendoza,Colfax,2018,hispanic
David,Ackerman,Colfax,2020,white
Marnie,Mendoza,Colfax,2020,hispanic
Trinity,Burruss,Colfax,2022,white
Sean,Lomen,Colfax,2022,white
Kim,Douglass,Colfax,2022,white
Joanne,Del Rosario,COLMA,2010,hispanic
Helen,Fisicaro,COLMA,2010,white
Raquel,Gonzalez,Colma,2016,hispanic
